experiment_id,sbi_method,nb_round,nb_simulations,c2st
exp_snpe_1_100,snpe,1,100,0.8991
exp_snpe_1_200,snpe,1,200,0.75175
exp_snpe_1_300,snpe,1,300,0.7101
exp_snpe_1_400,snpe,1,400,0.7325
exp_snpe_1_600,snpe,1,600,0.7339
exp_snpe_1_800,snpe,1,800,0.7119
exp_snpe_1_1000,snpe,1,1000,0.63585
exp_snpe_5_600,snpe,5,600,0.6547
exp_snpe_5_800,snpe,5,800,0.62545
exp_snpe_5_1000,snpe,5,1000,0.62715
exp_snpe_1_1500,snpe,1,1500,0.6502
exp_snpe_5_1500,snpe,5,1500,0.6032
exp_snpe_1_2000,snpe,1,2000,0.60445
exp_snpe_5_2000,snpe,5,2000,0.58855
exp_snre_1_200,snre,1,200,0.95355
exp_snre_1_400,snre,1,400,0.9597
exp_snre_1_300,snre,1,300,0.9245
exp_snre_1_100,snre,1,100,0.96415
exp_snre_1_600,snre,1,600,0.9123
exp_snre_1_1000,snre,1,1000,0.88695
exp_snre_1_800,snre,1,800,0.87665
exp_snre_5_300,snre,5,300,0.83725
exp_snre_1_2000,snre,1,2000,0.77795
exp_snre_5_800,snre,5,800,0.7345
exp_snre_5_1000,snre,5,1000,0.6966
exp_snre_1_1500,snre,1,1500,0.83145
exp_snre_5_1500,snre,5,1500,0.67135
exp_snle_1_100,snle,1,100,0.99185
exp_snle_1_200,snle,1,200,0.84035
exp_snle_1_300,snle,1,300,0.7131
exp_snle_1_400,snle,1,400,0.63745
exp_snle_1_600,snle,1,600,0.6558
exp_snle_1_800,snle,1,800,0.6712
exp_snle_1_1000,snle,1,1000,0.65245
exp_snle_5_100,snle,5,100,0.90655
exp_snle_1_2000,snle,1,2000,0.613
exp_snle_1_1500,snle,1,1500,0.60955
exp_snle_5_200,snle,5,200,0.7643
exp_snle_5_300,snle,5,300,0.661
exp_snle_5_400,snle,5,400,0.6728
exp_snle_5_600,snle,5,600,0.62925
exp_snle_5_800,snle,5,800,0.6117
exp_snre_5_2000,snre,5,2000,0.66825
exp_snle_5_1000,snle,5,1000,0.6113
exp_snle_5_1500,snle,5,1500,0.6112
exp_snle_5_2000,snle,5,2000,0.58395
exp_snpe_5_200,snpe,5,200,0.84675
exp_snpe_5_400,snpe,5,400,0.68525
exp_snpe_1_300,snpe,1,300,0.7417
exp_snpe_1_200,snpe,1,200,0.7929
exp_snpe_1_100,snpe,1,100,0.86375
exp_snpe_1_600,snpe,1,600,0.64075
exp_snpe_1_400,snpe,1,400,0.6622
exp_snpe_1_800,snpe,1,800,0.6813
exp_snpe_1_1000,snpe,1,1000,0.5965
exp_snpe_1_1500,snpe,1,1500,0.62595
exp_snpe_1_2000,snpe,1,2000,0.58665
exp_fmpe_200,fmpe,,200,0.79105
exp_fmpe_100,fmpe,,100,0.82325
exp_fmpe_300,fmpe,,300,0.78585
exp_fmpe_400,fmpe,,400,0.74985
exp_snre_5_300,snre,5,300,0.8658
exp_fmpe_800,fmpe,,800,0.74645
exp_fmpe_600,fmpe,,600,0.75675
exp_snre_5_400,snre,5,400,0.7966
exp_fmpe_1500,fmpe,,1500,0.7366
exp_fmpe_1000,fmpe,,1000,0.72175
exp_snre_5_600,snre,5,600,0.7409
exp_fmpe_2000,fmpe,,2000,0.7396
exp_snpe_5_100,snpe,5,100,0.92815
exp_snpe_5_800,snpe,5,800,0.64175
exp_snpe_5_600,snpe,5,600,0.65765
exp_snpe_5_400,snpe,5,400,0.6569
exp_snpe_5_1000,snpe,5,1000,0.6336
exp_snpe_5_1500,snpe,5,1500,0.6218
exp_snpe_5_2000,snpe,5,2000,0.5978
exp_fmpe_300,fmpe,,300,0.78055
exp_fmpe_100,fmpe,,100,0.931
exp_fmpe_200,fmpe,,200,0.7653
exp_fmpe_400,fmpe,,400,0.7786
exp_fmpe_600,fmpe,,600,0.77325
exp_fmpe_800,fmpe,,800,0.7248
exp_snre_1_200,snre,1,200,0.9469
exp_snre_1_100,snre,1,100,0.9695
exp_fmpe_1000,fmpe,,1000,0.71085
exp_snre_1_600,snre,1,600,0.9009
exp_snre_1_300,snre,1,300,0.89555
exp_fmpe_1500,fmpe,,1500,0.7156
exp_snre_1_1000,snre,1,1000,0.8669
exp_fmpe_2000,fmpe,,2000,0.74185
exp_snre_1_400,snre,1,400,0.9426
exp_snre_5_200,snre,5,200,0.88835
exp_snre_5_300,snre,5,300,0.82515
exp_snre_1_1500,snre,1,1500,0.81345
exp_snre_1_2000,snre,1,2000,0.8174
exp_snre_5_400,snre,5,400,0.7997
exp_snre_5_600,snre,5,600,0.7486
exp_snre_5_800,snre,5,800,0.7444
exp_snre_5_1000,snre,5,1000,0.72
exp_snre_1_800,snre,1,800,0.89235
exp_snle_1_300,snle,1,300,0.7652
exp_snre_5_2000,snre,5,2000,0.6397
exp_snle_1_100,snle,1,100,0.89695
exp_snle_1_200,snle,1,200,0.76175
exp_snle_1_400,snle,1,400,0.6887
exp_snle_5_100,snle,5,100,0.84645
exp_snle_1_600,snle,1,600,0.65205
exp_snle_1_800,snle,1,800,0.6888
exp_snle_1_1500,snle,1,1500,0.6118
exp_snle_5_200,snle,5,200,0.7409
exp_snle_5_300,snle,5,300,0.70065
exp_snle_5_400,snle,5,400,0.746
exp_snle_1_1000,snle,1,1000,0.60965
exp_snle_1_2000,snle,1,2000,0.61485
exp_snre_5_1500,snre,5,1500,0.6834
exp_snle_5_600,snle,5,600,0.6299
exp_snle_5_800,snle,5,800,0.6225
exp_snle_5_1000,snle,5,1000,0.62115
exp_snle_5_1500,snle,5,1500,0.6096
exp_snle_5_2000,snle,5,2000,0.6001
exp_fmpe_500,fmpe,,500,0.7574
exp_fmpe_1000,fmpe,,1000,0.73515
exp_fmpe_100,fmpe,,100,0.9367
exp_fmpe_500,fmpe,,500,0.7356
exp_fmpe_1500,fmpe,,1500,0.7897
exp_fmpe_2000,fmpe,,2000,0.75205
exp_fmpe_1000,fmpe,,1000,0.74675
exp_fmpe_1500,fmpe,,1500,0.72595
exp_fmpe_100,fmpe,,100,0.8823
exp_snpe_1_100,snpe,1,100,0.9019
exp_fmpe_100,fmpe,,100,0.8721
exp_fmpe_500,fmpe,,500,0.75455
exp_fmpe_500,fmpe,,500,0.73685
exp_snpe_1_500,snpe,1,500,0.72905
